26.0,-2.0
16.0,-1.0
11.0,-1.0
12.0,-1.0
25.0,2.0
26.0,2.0
25.0,1.0
27.0,-1.0
27.333333333333332,-3.666666666666667
25.0,-5.0
22.0,-7.0
19.5,-1.0
26.0,-3.0
26.0,-1.0
27.0,0.0
28.0,-2.0
27.0,0.0
23.0,-5.0
25.75,-4.0
28.0,-4.0
25.0,-5.0
23.0,-3.0
27.0,-2.0
22.0,-2.0
26.0,-3.0
28.0,-2.0
25.333333333333332,0.7222222222222214
29.2,-1.4000000000000004
24.70967741935484,-0.870967741935484
28.0,-2.666666666666667
25.0,-4.0
27.833333333333332,-2.0
28.333333333333332,-3.0
22.0,-3.0
28.576923076923077,-3.8076923076923075
24.77777777777778,-3.5555555555555554
26.591549295774648,-1.633802816901408
26.5,-2.5
24.0,-4.0
27.0,-3.0
26.5,-2.0
27.0,-3.0
26.0,-2.0
22.0,0.0
27.0,-1.0
27.0,-2.0
25.0,-1.0
26.0,0.0
8.0,-3.0
26.0,-3.0
23.0,-7.0
26.0,-5.0
21.0,-7.0
13.0,-4.0
6.0,-1.0
0.0,-1.0
27.0,0.0
27.0,-1.0
0.0,0.0
29.0,-2.0
21.0,-6.0
13.0,-1.0
20.0,-7.0
23.0,-6.0
4.0,0.0
22.0,1.0
25.0,0.0
20.0,0.0
10.0,0.0
5.0,1.0
15.0,-2.0
15.0,-2.0
13.0,-2.0
11.0,-4.0
7.5,-3.5
0.0,0.0
15.0,-1.0
18.0,0.0
11.0,0.0
7.0,1.0
21.0,-1.0
17.0,-2.0
19.0,-7.0
12.0,-6.0
14.0,-2.0
7.0,0.0
12.0,-1.0
25.0,-2.0
17.0,0.0
26.0,-1.0
9.0,0.0
18.0,-8.0
21.0,-5.0
23.0,-5.0
22.0,-5.0
12.0,-1.0
26.0,-2.0
25.0,-1.0
26.0,-1.0
24.0,0.0
25.0,-1.0
11.0,-1.0
22.0,-6.0
27.0,-1.0
24.0,-3.0
8.0,0.0
19.0,-2.0
11.0,0.0
16.0,2.0
22.0,1.0
14.0,0.0
13.0,1.0
12.0,0.0
11.0,-2.0
10.0,-4.0
19.0,-2.0
26.0,-3.0
14.0,-1.0
12.0,-1.0
21.0,-1.0
25.0,1.0
12.0,-1.0
0.0,0.5
27.0,0.0
20.0,-10.0
24.0,-3.0
27.0,-3.0
25.0,-3.0
18.0,3.0
26.0,0.0
25.0,0.0
22.0,0.0
29.0,-2.0
12.0,0.0
22.0,-6.0
27.0,-1.0
19.0,-3.0
11.0,0.0
29.0,-4.0
15.0,-2.0
16.0,3.0
23.0,2.0
23.0,1.0
22.0,1.0
27.0,-1.0
25.0,-5.0
23.0,-4.0
23.0,-5.0
23.0,-3.0
21.0,-5.0
26.0,-3.0
25.0,-2.0
26.0,-2.0
24.0,1.0
21.0,0.0
13.0,-1.0
18.0,-6.0
27.0,-3.0
23.0,-3.0
22.0,-5.0
22.0,-5.0
25.0,-3.0
4.5,0.0
26.0,-2.0
24.0,1.0
23.0,1.0
25.0,-1.0
19.0,-3.0
22.0,-7.0
24.0,-4.0
20.0,-5.0
21.0,-2.0
4.0,1.0
25.0,-3.0
24.0,1.0
24.0,0.0
25.0,1.0
26.0,-1.0
18.0,-4.0
25.0,-4.0
25.0,-3.0
21.0,-5.0
7.0,-1.0
24.0,-3.0
6.0,0.0
23.0,0.0
26.0,-2.0
23.0,1.0
26.0,-1.0
23.0,-4.0
24.5,-3.0
21.0,-6.0
26.0,-2.0
18.0,-10.0
25.0,-3.0
26.0,-4.0
23.0,-4.0
14.0,-3.0
24.0,-3.0
19.0,1.75
24.0,-3.0
20.0,1.0
21.0,0.0
0.0,-2.0
8.0,-1.0
22.0,-5.0
26.0,-1.0
22.0,-7.0
18.0,-3.0
19.0,-2.0
24.0,-3.0
21.5,0.0
23.0,-1.0
20.0,1.0
26.0,-1.0
7.0,0.0
1.0,-2.0
23.0,-3.0
22.0,-6.0
21.5,-2.0
21.0,-4.0
13.0,-2.0
24.0,-2.0
24.0,-3.0
22.0,0.0
23.0,-2.0
14.0,-2.0
0.0,0.0
19.0,-5.0
23.0,-2.0
23.0,-3.0
18.0,-7.0
20.0,-5.0
24.0,-2.0
23.0,-3.0
18.0,1.0
19.0,1.0
21.0,-2.0
21.0,-2.0
0.0,-1.0
0.5,-2.0
24.0,-1.0
22.0,-4.0
20.0,-5.0
22.0,-4.0
16.0,-3.0
22.0,-3.0
22.0,-1.0
21.0,1.0
22.0,-3.0
21.0,0.0
9.0,-1.0
6.0,-1.0
19.0,-1.0
20.0,-2.0
19.0,-4.0
18.0,-6.0
21.0,-1.0
18.0,-6.0
12.0,-1.0
19.0,0.0
20.0,-1.0
24.0,-2.0
18.0,-1.0
